section,label_key,n_total,n_cells,n_reference_domains,ari,nmi,pas,chaos
C57BL6J-3.009,major_brain_region,113720,110863,14,0.34652212213623435,0.5162962901882941,0.8180267537411039,0.005970160651901481
C57BL6J-3.009,ccf_region_name,113720,111391,221,0.11543076552547232,0.5278494601606315,0.4475639863184638,0.010331519884046243
