method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
STEP sampled,58469,10,0.31891370358575605,0.4875100425635286,1,0.8660550458715597,0.41889360023666306,0.5646683503921308,0.393406186330802,0.22956167176350661,4905
NicheCompass,58469,10,0.36950557545302865,0.4931477539571572,3,0.9702768729641694,0.2349866877033823,0.37834405017067557,0.23330722537693363,0.3253257328990228,2456
BANKSY (Harmony),58469,10,0.20084683098681075,0.36221979150770856,4,0.9458949355143127,0.29651908095848534,0.45150150150150153,0.2915737418791816,0.5863479081472162,3179
GraphST full graph,58469,10,0.3268613377460764,0.4673663874006986,4,0.9832554517133957,0.24898925155310128,0.39735620426469437,0.24793794186959936,0.471183800623053,2568
STAGATE full graph,58469,10,0.3422496811075766,0.4689359957988473,8,0.9725848563968669,0.29385662163494725,0.4513441878076486,0.29144254278728604,0.5799608355091384,3064
GraphST sampled,58469,10,0.3467896086434848,0.4787155533030097,2,0.9843912591050988,0.27985405778522826,0.4358108108108108,0.2786177105831533,0.5903572667360388,2883
STAGATE sampled,58469,10,0.2674248744896378,0.4535388180251888,8,0.9709636247606892,0.30006902672320285,0.4584557438794727,0.2974003127443315,0.4234205488194001,3134
