method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STEP sampled,0,938,7,0.007462686567164179,0.0006902672320283996,0.0012636519541474865,0.0006322254335260116
STEP sampled,1,4905,4248,0.8660550458715597,0.41889360023666306,0.5646683503921308,0.393406186330802
STEP sampled,2,4796,73,0.015221017514595496,0.007198501134010452,0.009774385753498024,0.004911194833153929
STEP sampled,3,6144,8,0.0013020833333333333,0.0007888768366038852,0.0009824992324224747,0.000491491061006328
STEP sampled,4,2949,601,0.20379789759240421,0.059264372349866874,0.09182582123758594,0.04812234766594603
STEP sampled,5,8029,237,0.029517997259932743,0.0233704762843901,0.026086956521739132,0.013215859030837005
STEP sampled,6,5122,703,0.13725107379929716,0.06932255201656641,0.09211819432614819,0.048282967032967035
STEP sampled,7,4066,2866,0.70486965076242,0.2826151267133419,0.40346308157950306,0.25271140111101315
STEP sampled,8,5966,79,0.013241702983573583,0.0077901587614633665,0.009809399639908116,0.0049288744696780636
STEP sampled,9,15554,1319,0.0848013372765848,0.13006606843506557,0.10266588830511773,0.054110600590744996
NicheCompass,0,5374,110,0.020468924451060664,0.010847056503303422,0.014179825974863036,0.007140538786108407
NicheCompass,1,8585,993,0.11566686080372743,0.09791933734345726,0.10605575136174304,0.05599729318220267
NicheCompass,2,11549,122,0.010563685167546974,0.01203037175820925,0.01124942369755648,0.005656528189910979
NicheCompass,3,2456,2383,0.9702768729641694,0.2349866877033823,0.37834405017067557,0.23330722537693363
NicheCompass,4,4750,2,0.0004210526315789474,0.0001972192091509713,0.00026861862870190047,0.00013432735576600176
NicheCompass,5,5899,1759,0.29818613324292254,0.17345429444827926,0.21932668329177057,0.12317064631328338
NicheCompass,6,2418,8,0.0033085194375516956,0.0007888768366038852,0.001273986782387133,0.0006373994104055454
NicheCompass,7,3480,1794,0.5155172413793103,0.17690563060842127,0.2634167829087439,0.15168681829711678
NicheCompass,8,10475,908,0.08668257756563245,0.08953752095454097,0.08808692277842453,0.04607266084838644
NicheCompass,9,3483,2062,0.5920183749641114,0.20333300463465143,0.3027011156782149,0.17834284725825983
BANKSY (Harmony),0,8348,1236,0.14805941542884524,0.12188147125530027,0.1337011195846179,0.07163971483220309
BANKSY (Harmony),1,2852,44,0.015427769985974754,0.0043388226013213686,0.0067728777033787425,0.0033979457873194842
BANKSY (Harmony),2,7908,1611,0.20371775417298937,0.15886007297110738,0.17851404509945148,0.09800462343350773
BANKSY (Harmony),3,6616,26,0.003929866989117291,0.002563849718962627,0.0031031807602792867,0.001554001554001554
BANKSY (Harmony),4,3179,3007,0.9458949355143127,0.29651908095848534,0.45150150150150153,0.2915737418791816
BANKSY (Harmony),5,5569,156,0.028012210450709285,0.015383098313775762,0.019859961807765756,0.010029574386010029
BANKSY (Harmony),6,6732,3194,0.4744503862150921,0.3149590770141012,0.37859301843181414,0.23349660062870092
BANKSY (Harmony),7,7187,418,0.058160567691665506,0.041218814712553,0.048245614035087724,0.024719101123595506
BANKSY (Harmony),8,5638,327,0.05799929052855623,0.03224534069618381,0.04144749350402434,0.021162309086202435
BANKSY (Harmony),9,4440,122,0.027477477477477478,0.01203037175820925,0.016734106028393113,0.00843765128985407
GraphST full graph,0,8916,1099,0.12326155226558995,0.10837195542845873,0.11533819593850028,0.06119835170954449
GraphST full graph,1,6189,2451,0.3960252060106641,0.24169214081451534,0.3001837109614207,0.17659773758916347
GraphST full graph,2,5111,2834,0.554490315006848,0.2794596193669263,0.37162339365329133,0.22821710420357547
GraphST full graph,3,7615,141,0.018516086671043992,0.013903954245143476,0.015881955395359314,0.008004541583877377
GraphST full graph,4,2568,2525,0.9832554517133957,0.24898925155310128,0.39735620426469437,0.24793794186959936
GraphST full graph,5,5076,175,0.03447596532702916,0.017256680800709988,0.023000591443779982,0.011634091211275096
GraphST full graph,6,10313,871,0.08445651119945699,0.085888965585248,0.0851667155568593,0.04447735280600521
GraphST full graph,7,1350,2,0.0014814814814814814,0.0001972192091509713,0.00034809851187886175,0.00017407955435634086
GraphST full graph,8,8692,16,0.0018407731247123793,0.0015777536732077704,0.001699145117612701,0.0008502949460594143
GraphST full graph,9,2639,27,0.010231148162182645,0.002662459323538113,0.004225352112676057,0.002117148906139732
STAGATE full graph,0,5868,1304,0.2222222222222222,0.1285869243664333,0.16290836404522457,0.08867732063923836
STAGATE full graph,1,3282,1807,0.5505789152955515,0.17818755546790258,0.2692393652685689,0.1555612947658402
STAGATE full graph,2,4954,150,0.030278562777553492,0.014791440686322849,0.01987413050679033,0.010036801605888258
STAGATE full graph,3,3203,809,0.25257571027162035,0.0797751701015679,0.12125299760191846,0.0645392899880335
STAGATE full graph,4,10286,27,0.00262492708535874,0.002662459323538113,0.0026435599941254224,0.0013235294117647058
STAGATE full graph,5,3721,2271,0.610319806503628,0.2239424119909279,0.3276583465589381,0.19592787507548962
