batch,n_spots,sampled_full_ari,sampled_full_nmi,embedding_linear_cka,sampled_pas,full_pas,sampled_chaos,full_chaos
cancer_p1,507684,0.5453661414674718,0.6904383235378149,0.7480693949313457,0.8645023282199163,0.8735498853617605,0.0047739274567620855,0.004793864469370631
cancer_p2,545913,0.5654739909046742,0.6814205948368051,0.831124369772958,0.8789948215191798,0.8704366813026985,0.004288395404435428,0.004299790270201371
cancer_p5,541968,0.5995399366066663,0.6857838413813692,0.8482952716104604,0.8674875638414076,0.85863132140643,0.004258670907104448,0.004287373582731568
normal_p3,487552,0.6626882128298106,0.6530125454925302,0.8019291608229862,0.8399179984904175,0.8520629594381728,0.004429938761766381,0.004400415109539486
normal_p5,435773,0.54679651986326,0.6538519393553602,0.7995722805942439,0.8574946130209995,0.8553946664892043,0.0043169843860531715,0.004324824687427901
