method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STEP sampled,0,13567,271,0.019974939190683275,0.030774471950942538,0.024225629106512315,0.012261333815944258
STEP sampled,1,7646,163,0.02131833638503793,0.018510106745400864,0.019815220034038416,0.0100067530235128
STEP sampled,10,2897,5,0.0017259233690024164,0.0005677946854417443,0.0008544817568144921,0.00042742349119507606
STEP sampled,11,7630,4,0.0005242463958060288,0.0004542357483533954,0.00048673643222195184,0.00024342745861733204
STEP sampled,12,6563,2462,0.3751333231753771,0.2795821031115149,0.3203851909688334,0.19074920585728675
STEP sampled,13,4695,2212,0.4711395101171459,0.25119236883942764,0.3276794311532478,0.19594295331738862
STEP sampled,14,5898,34,0.005764665988470668,0.003861003861003861,0.004624591947769314,0.002317655078391275
STEP sampled,15,1917,0,0.0,0.0,0.0,0.0
STEP sampled,2,7931,5,0.0006304375236414071,0.0005677946854417443,0.000597478640138615,0.00029882859191967485
STEP sampled,3,4840,2421,0.5002066115702479,0.2749261866908926,0.35482925399384435,0.2156792873051225
STEP sampled,4,8559,1072,0.12524827666783503,0.12173518055870997,0.12346674344946731,0.06579512674154545
STEP sampled,5,2438,9,0.0036915504511894994,0.0010220304337951397,0.0016008537886872997,0.0008010680907877169
STEP sampled,6,3710,63,0.016981132075471698,0.007154213036565978,0.010067114093959731,0.00505902192242833
STEP sampled,7,7864,11,0.0013987792472024414,0.0012491483079718373,0.001319736052789442,0.0006603037397202714
STEP sampled,8,7086,19,0.002681343494213943,0.0021576198046786284,0.002391140196325195,0.001197001197001197
STEP sampled,9,4949,55,0.011113356233582542,0.006245741539859187,0.007997091966557617,0.0040145985401459855
NicheCompass,0,3431,1154,0.3363450888953658,0.1310470133999546,0.18860831903244263,0.10412343228367771
NicheCompass,1,7976,74,0.009277833500501504,0.008403361344537815,0.008818972708854724,0.004429016040220253
NicheCompass,10,3457,98,0.02834827885449812,0.011128775834658187,0.01598303840821985,0.008055898068228524
NicheCompass,11,6205,70,0.011281224818694601,0.00794912559618442,0.009326493904470054,0.004685094705842982
NicheCompass,12,2743,2595,0.946044476850164,0.29468544174426525,0.4493895575374491,0.28981460799642617
NicheCompass,13,7737,8,0.0010339925035543493,0.0009084714967067908,0.0009671764492534606,0.00048382219534321135
NicheCompass,14,4657,3472,0.7455443418509771,0.3942766295707472,0.5157840005942212,0.34751276148533683
NicheCompass,15,3311,31,0.009362730292962852,0.0035203270497388144,0.005116778080382934,0.002564951183187159
NicheCompass,2,13361,142,0.010627947009954345,0.016125369066545537,0.012811837415978708,0.006447219069239501
NicheCompass,3,10345,2,0.00019333011116481392,0.0002271178741766977,0.00020886637773484415,0.00010444409629745679
NicheCompass,4,8528,585,0.06859756097560976,0.06643197819668407,0.0674974039460021,0.03492745835572273
NicheCompass,5,3415,561,0.16427525622254757,0.0637065637065637,0.09180918091809182,0.048113207547169815
