method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
STEP sampled,98190,16,0.43451688627171203,0.5870350004798627,3,0.5002066115702479,0.2749261866908926,0.35482925399384435,0.2156792873051225,0.6070247933884297,4840
NicheCompass,98190,16,0.4595156424722505,0.586865741696762,14,0.7455443418509771,0.3942766295707472,0.5157840005942212,0.34751276148533683,0.33025552931071506,4657
BANKSY (Harmony),98190,16,0.31454673112229,0.5114852332192734,13,0.7583570679058612,0.5744946627299569,0.6537442656845642,0.4856018429641006,0.28541448058761804,6671
GraphST full graph,98190,16,0.43623778829656323,0.5651098843825627,0,0.9246243952126305,0.4123325005677947,0.5703290662059216,0.3989233135574599,0.2416603004838299,3927
STAGATE full graph,98190,16,0.3786668682081847,0.5723856222369594,0,0.4613433196424257,0.43368158074040425,0.4470849918051979,0.28790049001130796,0.3243537086252718,8278
GraphST sampled,98190,16,0.4379092411248169,0.5861090021339007,2,0.6435252272427875,0.5547354076765841,0.5958407025675428,0.4243398193189715,0.2118297984455276,7591
STAGATE sampled,98190,16,0.4754456637319751,0.5927744037674696,4,0.8796728971962616,0.5130592777651601,0.6481136135418161,0.47941426146010185,0.22332554517133957,5136
