sample,x,y,cluster
Benign04,3172.4,2103.1,3
Benign04,1176.4,3360.8,3
Benign04,1569.8,2491.8,3
Benign04,4679.1,4112.9,3
Benign04,3313.8,2762.8,2
Benign04,4507.0,2572.8,3
Benign04,1015.5,3169.6,3
Benign04,4078.6,3420.6,2
Benign04,4738.1,2312.3,3
Benign04,4306.5,3854.4,3
Benign04,1960.0,1231.9,3
Benign04,3884.6,4621.0,3
Benign04,2896.5,2659.8,3
Benign04,2605.2,2126.5,3
Benign04,4461.7,3299.3,3
Benign04,3491.4,3188.3,3
Benign04,4692.7,4026.8,3
Benign04,5160.1,2526.9,3
Benign04,3836.8,5231.6,2
Benign04,1507.6,3052.1,3
Benign04,1348.8,3909.1,3
Benign04,3694.6,3710.8,3
Benign04,2179.6,4182.4,3
Benign04,4314.6,4395.8,3
Benign04,1203.4,3505.2,3
Benign04,3698.2,5629.1,3
Benign04,4411.5,4103.1,3
Benign04,4465.5,2342.5,3
Benign04,4314.7,1069.8,3
Benign04,4643.8,3459.0,3
Benign04,3418.5,5143.6,3
Benign04,2431.6,2877.8,3
Benign04,4025.7,3985.9,3
Benign04,4719.7,2400.4,3
Benign04,1707.4,2039.6,3
Benign04,5085.6,1999.0,2
Benign04,1824.3,2484.1,3
Benign04,4306.6,2585.9,3
Benign04,4887.2,1968.5,3
Benign04,4579.8,3939.9,3
Benign04,4643.3,3815.0,3
Benign04,4475.5,3202.3,3
Benign04,4012.4,3799.8,3
Benign04,4318.6,4222.1,3
Benign04,1592.1,2106.7,3
Benign04,4179.1,4893.3,3
Benign04,4337.1,2776.3,3
Benign04,1720.7,2738.6,2
Benign04,1261.2,2957.3,3
Benign04,2999.7,3772.8,3
Benign04,839.25,3261.6,3
Benign04,3009.3,3557.6,3
Benign04,2407.9,4116.8,3
Benign04,2855.2,4810.9,3
Benign04,2899.6,4593.2,2
Benign04,4008.1,2548.8,3
Benign04,1925.8,2675.2,3
Benign04,2987.1,2735.0,3
Benign04,3756.9,2913.3,3
Benign04,3428.0,4569.8,3
Benign04,4367.4,2767.0,3
Benign04,4675.7,1378.2,3
Benign04,3939.4,3534.4,3
Benign04,3401.3,3217.8,3
Benign04,3291.1,2868.6,3
Benign04,4038.4,3750.5,3
Benign04,2593.4,2111.9,3
Benign04,3239.4,3068.7,3
Benign04,3292.3,4868.0,3
Benign04,1687.3,3311.8,3
Benign04,5005.0,3695.9,3
Benign04,2621.6,2233.9,3
Benign04,3852.8,4618.1,3
Benign04,4227.1,2208.3,3
Benign04,4001.9,3545.0,3
Benign04,2353.8,3745.3,3
Benign04,3299.8,4917.7,3
Benign04,3637.4,5059.2,3
Benign04,2196.9,4264.2,3
Benign04,4347.5,1014.5,3
Benign04,1875.2,2535.2,3
Benign04,2183.2,4167.9,3
Benign04,4075.4,1973.7,3
Benign04,4842.5,3080.2,3
Benign04,2902.6,2048.4,3
Benign04,3924.6,3603.8,3
Benign04,774.42,3135.1,3
Benign04,5145.3,2519.2,3
Benign04,4085.5,3615.7,3
Benign04,2207.7,4253.1,3
Benign04,4340.0,3739.4,3
Benign04,4821.0,4193.2,3
Benign04,1124.8,3103.1,3
Benign04,4780.1,2702.7,3
Benign04,2441.8,4061.4,3
Benign04,3986.7,3137.8,3
Benign04,4846.8,2269.8,3
Benign04,4502.2,1606.2,3
Benign04,3670.2,3509.6,2
Benign04,3091.2,5073.0,3
Benign04,4015.3,5033.6,3
Benign04,3936.9,1091.1,3
Benign04,3997.1,4761.2,3
Benign04,3442.3,4507.6,2
Benign04,2290.7,2411.7,3
Benign04,3571.6,2252.6,3
Benign04,3212.0,4807.8,3
Benign04,2564.6,815.04,3
Benign04,3034.0,1955.9,3
Benign04,4380.0,2720.7,3
Benign04,4528.4,1717.7,3
Benign04,4980.2,3124.1,3
Benign04,5147.7,2270.7,3
Benign04,4737.1,2279.2,3
Benign04,4393.0,1122.2,3
Benign04,3218.1,3796.5,3
Benign04,4020.4,1066.8,3
Benign04,2613.3,2372.4,3
Benign04,204.09,1918.9,3
Benign04,2942.4,2425.0,3
Benign04,2026.2,3655.3,3
Benign04,2118.8,4016.3,3
Benign04,4512.9,3108.1,3
Benign04,3161.1,3405.8,3
Benign04,5030.2,3619.3,3
Benign04,3626.2,5073.1,3
Benign04,3336.1,1661.8,3
Benign04,1322.0,3530.8,3
Benign04,4001.2,3784.3,3
Benign04,2204.0,2923.7,3
Benign04,4159.0,1358.4,3
Benign04,3226.3,3057.5,3
Benign04,5651.3,3314.3,3
Benign04,2956.9,3458.8,3
Benign04,3552.6,5442.9,3
Benign04,5041.5,3217.2,3
Benign04,4240.9,1418.8,3
Benign04,1787.0,2853.1,3
Benign04,5521.5,2959.0,3
Benign04,4331.6,1044.2,3
Benign04,3975.2,4773.5,2
Benign04,1594.2,3189.1,3
Benign04,2183.6,4114.1,3
Benign04,2860.0,1970.4,3
Benign04,4875.5,2211.7,3
Benign04,2301.2,4795.6,3
Benign04,2949.4,2873.3,3
Benign04,1850.9,2405.4,3
Benign04,3027.5,3338.3,3
Benign04,872.94,3268.0,3
Benign04,4086.9,920.61,3
Benign04,3402.7,5065.6,3
Benign04,2754.3,3131.2,3
Benign04,4758.0,2596.2,3
Benign04,3685.4,3358.8,3
Benign04,4985.6,3909.7,3
Benign04,2870.4,3427.0,3
Benign04,1882.1,2478.3,3
Benign04,3452.3,4881.0,3
Benign04,4083.5,957.43,3
