unique_sampled_nodes,sampled_edges,sampled_node_fraction,sampled_edge_fraction,sampled_mean_degree,n_components,components_per_1k_nodes,largest_component_fraction,isolated_node_fraction,label,target_sample_fraction,target_sample_percent,n_iterations,cumulative_node_coverage_fraction,cumulative_edge_coverage_fraction,mean_node_frequency,p10_node_frequency,min_node_frequency,mean_edge_frequency,p10_edge_frequency,min_edge_frequency,pearson_edge_support,spearman_edge_support,jaccard_top20_support
512.0,126.854,0.125,0.015730902777777778,1.4955234375,386.1145,754.1298828125,0.0122880859375,0.5893271484375,sample_budget_12pct,0.125,12.5,2000,1.0,1.0,250.0,228.5,116.0,31.461805555555557,24.0,5.0,0.9999999999999996,0.9999999999999999,1.0
1024.0,507.816,0.25,0.06297321428571427,1.991828125,531.9885,519.52001953125,0.01466845703125,0.3205634765625,sample_budget_25pct,0.25,25.0,2000,1.0,1.0,500.0,473.0,243.0,125.94642857142857,110.0,42.0,0.9999999999999996,0.9999999999999999,1.0
2048.0,2029.452,0.5,0.25166815476190474,2.98188671875,285.661,139.48291015625,0.08886962890625,0.0659970703125,sample_budget_50pct,0.5,50.0,2000,1.0,1.0,1000.0,973.0,584.0,503.3363095238095,478.0,232.0,0.9999999999999996,0.9999999999999999,1.0
1024.0,507.323,0.25,0.06291207837301588,1.990865234375,532.584,520.1015625,0.01458984375,0.320373046875,iteration_budget_1000,0.25,25.0,1000,1.0,1.0,250.0,229.0,135.0,62.91207837301587,52.0,25.0,0.9999999999999996,0.9999999999999999,1.0
1024.0,507.816,0.25,0.06297321428571427,1.991828125,531.9885,519.52001953125,0.01466845703125,0.3205634765625,iteration_budget_2000,0.25,25.0,2000,1.0,1.0,500.0,473.0,243.0,125.94642857142857,110.0,42.0,0.9999999999999996,0.9999999999999999,1.0
1024.0,507.92066666666665,0.25,0.06298619378306879,1.9920325520833333,531.96,519.4921875,0.014615234375,0.3204944661458333,iteration_budget_3000,0.25,25.0,3000,1.0,1.0,750.0,720.0,388.0,188.95858134920636,170.0,72.0,0.9999999999999996,0.9999999999999999,1.0
