cavity_sigma,repeat,method,ARI,NMI,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction
0.25,0,No graph,0.6690617967512582,0.7617894768551001,0.9981740188974553,0.7441764985522279,0.8526615498885864,0.7431648000690533,0.2245377079589589
0.25,0,1-hop Gaussian,0.7158627175221693,0.7903568485340856,0.9963941004229476,0.7941354423268076,0.8838411774608596,0.7918596884359311,0.4840039041318729
0.25,0,2-hop Gaussian,0.6922564959098023,0.7632281491250146,0.9938577645568225,0.7797009378106228,0.8738496561077207,0.7759618072729618,0.49407811381038946
0.25,0,4-hop Gaussian,0.6241695942434582,0.7262652919600356,0.9958135466133466,0.6887505942348416,0.8142962981886929,0.6867620442988882,0.45704198950262437
0.25,0,8-hop Gaussian,0.601849010603901,0.6883406533141558,0.98807030325107,0.7033579670685856,0.8217518082326656,0.6974352381564569,0.5056916492122757
0.25,1,No graph,0.8746647660760516,0.8175330559019579,0.9927492706366913,1.0,0.9963614442267531,0.9927492706366913,0.4219581259653338
0.25,1,1-hop Gaussian,0.7008840483141558,0.7900951367578174,0.9986476968587125,0.7659579065646743,0.8669609773397087,0.7651642706039805,0.48719537963093396
0.25,1,2-hop Gaussian,0.6766904398888368,0.7687257342162777,0.9963102822057595,0.7468559574743939,0.8537341451666687,0.7447959315605741,0.49799659854140843
0.25,1,4-hop Gaussian,0.6265185933993177,0.7215030987545438,0.9951584909107518,0.7062102943083106,0.8261479543472491,0.7037922346404807,0.49529551475290035
0.25,1,8-hop Gaussian,0.5540217641972831,0.6846009866536598,0.9960639606396064,0.6124508405721941,0.758513641898492,0.6109721922828196,0.47172728870145847
0.25,2,No graph,0.8512154151750616,0.7900191645355417,0.9900943497143835,1.0,0.9950225222803943,0.9900943497143835,0.4211292013435742
0.25,2,1-hop Gaussian,0.7268799834992676,0.7945747151838013,0.9964997964997965,0.7935952288344353,0.8835480495110245,0.7913892300730493,0.47624474291140956
0.25,2,2-hop Gaussian,0.6795594945537022,0.7651169802786041,0.9956057575842934,0.7637538355157959,0.8644028418053534,0.761187922642891,0.49494380439987606
0.25,2,4-hop Gaussian,0.6144289458142759,0.7327016895581862,0.9969564079067941,0.6582609447253555,0.7929562433297759,0.6569407603890363,0.46115329231574814
0.25,2,8-hop Gaussian,0.5491079786002725,0.6767757802433062,0.9933932523978805,0.6400665543022602,0.7785166105971404,0.6373534158149543,0.5090549332617882
0.25,3,No graph,0.8463789481016452,0.7872400970277417,0.9891209096543911,1.0,0.9945307043464245,0.9891209096543911,0.4254600636929062
0.25,3,1-hop Gaussian,0.7304094820385305,0.7994972464309982,0.995546732482026,0.8018929080772721,0.8882878138688752,0.7990267849453104,0.5065189398004077
0.25,3,2-hop Gaussian,0.7108054075011251,0.7704168073675637,0.9951556322735119,0.7723756428540559,0.8697260207309357,0.7694824765349177,0.5090483879948772
0.25,3,4-hop Gaussian,0.6602388361179901,0.7264858353045067,0.9922929825578026,0.7400492674705044,0.8478067135359937,0.7358198693709178,0.5242510285681173
0.25,3,8-hop Gaussian,0.5756790238997771,0.6784692805553226,0.9942646058131622,0.6630364319979256,0.7955508886555439,0.6605101711333549,0.4828424224749684
0.25,4,No graph,0.8576425820024105,0.7896009070742346,0.9900305928160367,0.9999783914603051,0.9949796282559852,0.990009412972788,0.42083306591361275
