method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STEP sampled,0,2699,1574,0.583178955168581,0.1442845357044642,0.23133450911228687,0.1307960777796244
STEP sampled,1,4392,0,0.0,0.0,0.0,0.0
STEP sampled,10,7367,106,0.014388489208633094,0.009716747639563664,0.011599912453490919,0.005833791964777105
STEP sampled,11,2975,83,0.027899159663865546,0.007608396736639472,0.011956208585422068,0.006014056952394754
STEP sampled,12,9363,7,0.0007476236249065471,0.0006416720139334495,0.0006906077348066299,0.0003454231433506045
STEP sampled,13,655,629,0.9603053435114504,0.05765881382344853,0.10878588723625043,0.05752171925011431
STEP sampled,2,8733,224,0.025649833963128362,0.020533504445870383,0.022808267997148968,0.011535688536409516
STEP sampled,3,5138,228,0.04437524328532503,0.02090017416811807,0.02841652645354272,0.014413047600986157
STEP sampled,4,5164,0,0.0,0.0,0.0,0.0
STEP sampled,5,8436,117,0.013869132290184922,0.010725089375744798,0.012096148875678472,0.006084876222175993
STEP sampled,6,10243,1742,0.17006736307722348,0.159684664038867,0.1647125567322239,0.08974755280783102
STEP sampled,7,3488,1384,0.3967889908256881,0.12686772389769915,0.19226227686323538,0.1063551832782602
STEP sampled,8,3123,1493,0.4780659622158181,0.13685947382894859,0.2127993158494869,0.11906850626046735
STEP sampled,9,4411,3322,0.7531172069825436,0.3045192043267027,0.4336814621409922,0.2768794799133189
NicheCompass,0,1289,384,0.2979053529868115,0.035200293335777795,0.06296114117068372,0.03250380904012189
NicheCompass,1,7454,1,0.00013415615776764153,9.166743056192135e-05,0.00010891466535969068,5.446029844243546e-05
NicheCompass,10,7454,41,0.005500402468473303,0.003758364653038775,0.0044655012797473175,0.00223774697085471
NicheCompass,11,4679,3987,0.8521051506732208,0.36547804565038045,0.5115473441108546,0.34367726920093095
NicheCompass,12,4859,146,0.030047334842560197,0.013383444862040517,0.018518518518518517,0.009345794392523364
NicheCompass,13,3348,47,0.014038231780167264,0.004308369236410303,0.006593252437399172,0.0033075299085151303
NicheCompass,2,8185,580,0.0708613317043372,0.05316710972591438,0.06075206871268461,0.03132764394512261
NicheCompass,3,3124,1274,0.40781049935979513,0.1167843065358878,0.18157200883631439,0.09985108550826867
NicheCompass,4,9279,379,0.040844918633473434,0.034741956182968194,0.03754705765801466,0.019132717451663384
NicheCompass,5,3726,1109,0.297638217928073,0.10165918049317077,0.15155449265459514,0.08199024101730001
NicheCompass,6,4672,276,0.059075342465753425,0.025300210835090292,0.03542776458507156,0.018033322443645868
NicheCompass,7,5671,21,0.003703050608358314,0.0019250160418003484,0.002533172496984319,0.0012681925237031221
NicheCompass,8,7193,0,0.0,0.0,0.0,0.0
NicheCompass,9,5254,2664,0.5070422535211268,0.24420203501695847,0.329641774423065,0.19734795170012592
BANKSY (Harmony),0,2884,2645,0.9171289875173371,0.24246035383628198,0.38352787645907344,0.23726228919985648
BANKSY (Harmony),1,5804,23,0.003962784286698828,0.002108350902924191,0.0027523484712499253,0.001378070701018574
BANKSY (Harmony),10,7382,265,0.035898130587916556,0.02429186909890916,0.02897599912525286,0.01470098746255409
BANKSY (Harmony),11,5585,294,0.052641002685765444,0.026950224585204876,0.035649327028010186,0.01814814814814815
BANKSY (Harmony),12,5810,19,0.003270223752151463,0.0017416811806765056,0.0022728632095221006,0.0011377245508982037
BANKSY (Harmony),13,5745,1321,0.2299390774586597,0.1210926757722981,0.1586405668307914,0.08615404682710494
BANKSY (Harmony),2,5545,1894,0.3415689810640216,0.17361811348427902,0.23021757627324665,0.1300824175824176
BANKSY (Harmony),3,9476,690,0.07281553398058252,0.06325052708772573,0.06769683590875643,0.035034272658035034
BANKSY (Harmony),4,4461,1173,0.2629455279085407,0.10752589604913375,0.15263500325309043,0.08262308938508135
BANKSY (Harmony),5,2676,1849,0.6909566517189836,0.16949307910899258,0.27221199852778805,0.1575494205862304
BANKSY (Harmony),6,6259,308,0.0492091388400703,0.028233568613071774,0.03588070829450139,0.01826809015421115
BANKSY (Harmony),7,4753,263,0.055333473595623815,0.024108534237785313,0.033584471970374154,0.01707903110591597
BANKSY (Harmony),8,4588,132,0.02877070619006103,0.012100100834173618,0.017035555268761694,0.008590953465668728
BANKSY (Harmony),9,5219,33,0.006323050392795555,0.0030250252085434045,0.004092261904761905,0.0020503261882572226
GraphST full graph,0,3937,2439,0.619507239014478,0.22357686314052616,0.3285733530917419,0.1965825743531877
GraphST full graph,1,10375,31,0.0029879518072289156,0.002841690347419562,0.0029129862807742903,0.001458617606926081
GraphST full graph,10,673,230,0.34175334323922735,0.02108350902924191,0.039716801934035574,0.020260747004933053
GraphST full graph,11,5596,90,0.016082916368834882,0.00825006875057292,0.010905786125416539,0.005482790130977765
GraphST full graph,12,1090,2,0.001834862385321101,0.0001833348611238427,0.0003333611134261189,0.0001667083437526048
GraphST full graph,13,1424,0,0.0,0.0,0.0,0.0
GraphST full graph,2,15421,300,0.019453991310550547,0.027500229168576404,0.022787694644891755,0.01152516327314637
GraphST full graph,3,2995,26,0.008681135225375626,0.0023833531946099553,0.003739930955120828,0.0018734687995388384
GraphST full graph,4,3157,452,0.14317389927146024,0.04143367861398845,0.06426844874164653,0.033201116497722935
GraphST full graph,5,3639,1191,0.32728771640560594,0.10917590979924832,0.16373384657684906,0.08916672905592574
GraphST full graph,6,7927,42,0.005298347420209411,0.003850032083600697,0.004459545551072415,0.0022347557731190806
GraphST full graph,7,13152,1313,0.09983272506082726,0.12035933632780273,0.10913927101949213,0.05771935994373132
GraphST full graph,8,1495,377,0.25217391304347825,0.03455862132184435,0.060786842953885846,0.03134613785648956
GraphST full graph,9,5306,4416,0.8322653599698454,0.4048033733614447,0.5446808510638297,0.3742690058479532
STAGATE full graph,0,3681,517,0.1404509644118446,0.04739206160051334,0.0708704592186429,0.03673701414055283
STAGATE full graph,1,2022,33,0.016320474777448073,0.0030250252085434045,0.005104013610702962,0.002558536207163901
STAGATE full graph,10,2932,591,0.20156889495225103,0.054175451462095514,0.08539845386894011,0.04460377358490566
STAGATE full graph,11,9617,4,0.0004159301237392118,0.0003666697222476854,0.00038974958589106505,0.0001949127765325017
STAGATE full graph,12,1620,1034,0.6382716049382716,0.09478412320102668,0.16505706760316066,0.08995215311004785
STAGATE full graph,13,2664,2551,0.9575825825825826,0.23384361536346135,0.375893317615855,0.23144619851206677
STAGATE full graph,2,14382,376,0.026143790849673203,0.034466953891282424,0.02973389743386976,0.015091310455548866
STAGATE full graph,3,8109,97,0.011962017511407078,0.00889174076450637,0.010200862340940161,0.005126578933460177
STAGATE full graph,4,4412,244,0.05530371713508613,0.02236685305710881,0.03185170680764963,0.016183590900046427
STAGATE full graph,5,5986,1711,0.28583361176077515,0.15684297369144742,0.202545131695768,0.11268440463645943
STAGATE full graph,6,6834,142,0.020778460637986537,0.013016775139792831,0.016006312348531813,0.008067723424805408
STAGATE full graph,7,6293,15,0.002383600826314953,0.0013750114584288203,0.0017439832577607255,0.0008727526618956188
STAGATE full graph,8,1409,1091,0.7743080198722498,0.1000091667430562,0.17713914596525412,0.09717644963035539
STAGATE full graph,9,6226,2503,0.4020237712817218,0.22944357869648913,0.29215056901079667,0.17106342263531985
GraphST sampled,0,4891,4326,0.884481701083623,0.39655330461087174,0.5475949367088607,0.3770263203765034
GraphST sampled,1,6703,2923,0.4360733999701626,0.2679438995324961,0.3319327731092437,0.19899244332493704
GraphST sampled,10,3118,9,0.0028864656831302116,0.0008250068750572921,0.0012832394667427107,0.0006420316735625624
GraphST sampled,11,3037,21,0.00691471847217649,0.0019250160418003484,0.0030116162340456045,0.0015080789946140035
GraphST sampled,12,1328,17,0.012801204819277108,0.001558346319552663,0.0027784587725749777,0.0013911620294599018
GraphST sampled,13,876,395,0.4509132420091324,0.036208635071958935,0.06703436571913449,0.03467954345917471
GraphST sampled,2,1487,0,0.0,0.0,0.0,0.0
GraphST sampled,3,8095,93,0.011488573193329216,0.008525071042258685,0.009787413176173437,0.004917772724869124
GraphST sampled,4,16346,273,0.016701333659610913,0.02502520854340453,0.020033021463951566,0.010117856348676896
GraphST sampled,5,1741,218,0.12521539345203905,0.019983499862498855,0.034466403162055334,0.017535392535392536
GraphST sampled,6,1873,455,0.2429257875066738,0.041708680905674214,0.07119386637458926,0.03691084611016468
