method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
STEP sampled,76187,14,0.29707133166079064,0.5246890731061646,9,0.7531172069825436,0.3045192043267027,0.4336814621409922,0.2768794799133189,0.26456585808206756,4411
NicheCompass,76187,14,0.3161412583831807,0.5289340312690278,11,0.8521051506732208,0.36547804565038045,0.5115473441108546,0.34367726920093095,0.25967086984398374,4679
BANKSY (Harmony),76187,14,0.23671858096526824,0.4490879711597661,0,0.9171289875173371,0.24246035383628198,0.38352787645907344,0.23726228919985648,0.2950762829403606,2884
GraphST full graph,76187,14,0.4052981555480677,0.555613030399769,9,0.8322653599698454,0.4048033733614447,0.5446808510638297,0.3742690058479532,0.2344515642668677,5306
STAGATE full graph,76187,14,0.389685261609605,0.5378184504549153,13,0.9575825825825826,0.23384361536346135,0.375893317615855,0.23144619851206677,0.2672672672672673,2664
GraphST sampled,76187,14,0.39890434968853483,0.5515039995829149,0,0.884481701083623,0.39655330461087174,0.5475949367088607,0.3770263203765034,0.25148231445512165,4891
STAGATE sampled,76187,14,0.28492854770850146,0.5127580915467066,5,0.9124785486638882,0.34118617655147127,0.4966639978649587,0.3303745783774188,0.3510664378524148,4079
