method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
STEP sampled,113457,18,0.40048228358920535,0.5922366791512069,8,0.7169698777214435,0.25207088182866727,0.3730023273855702,0.22925805836353233,0.69549657023561,3353
NicheCompass,113457,18,0.35086962065595123,0.5848371999159565,0,0.5171926519076778,0.3453916325888644,0.41418332704639754,0.26117982873453854,0.6508086041764798,6369
BANKSY (Harmony),113457,18,0.3221712790721292,0.5282470270920938,0,0.6913084553613604,0.30690992974729997,0.42509621668724135,0.2699188491331612,0.4416627302786963,4234
GraphST full graph,113457,18,0.3796887291728381,0.5547471497517774,10,0.6588929474571509,0.24588445003669918,0.3581246182040318,0.21811924472142127,0.7046923293059848,3559
STAGATE full graph,113457,18,0.3741387921320799,0.5540758968913668,0,0.73573264781491,0.30009436929852157,0.4263052059283533,0.2708944628490298,0.5388174807197943,3890
GraphST sampled,113457,18,0.43336642616543397,0.5849399735730435,8,0.8239786177930508,0.22627660689944426,0.3550510036196117,0.21584316863372674,0.9904543718976708,2619
STAGATE sampled,113457,18,0.419774069146933,0.5832309664844857,7,0.7121287128712871,0.30166719094054734,0.4238049642778227,0.2688785046728972,0.6113861386138614,4040
