analysis,method,n_cells,n_domains,domain_ASW,domain_ARI,domain_NMI,knn_domain_purity,batch_ASW,batch_iLISI
MERFISH anatomical-domain recovery,STEP,12916,8,0.509807693772018,0.37418119299300073,0.464787964157342,0.7086454915251879,0.8408724665641785,0.09263060092926026
MERFISH anatomical-domain recovery,NicheCompass,12916,8,0.5182153787463903,0.26901063324870617,0.4110175392761484,0.7073988885834485,0.8933674097061157,0.06910027861595154
STARmap PLUS anatomical-domain recovery,STEP,33802,17,0.5556914992630482,0.442169999540537,0.6243842279580777,0.7640781843239114,0.8766267895698547,0.11947925467240184
STARmap PLUS anatomical-domain recovery,NicheCompass,33802,17,0.5398966409265995,0.5162849266663806,0.6795837267471149,0.7506227608365704,0.9317234754562378,0.09191952253642835
Shared anatomical-region integration,STEP,16442,5,0.5858850702643394,0.5105436679865312,0.5095986527095806,0.8436389952287168,0.7184184193611145,0.023441433906555176
Shared anatomical-region integration,NicheCompass,16442,5,0.5425862781703472,0.3814920822987307,0.3973578792400762,0.8450262345404821,0.8042680621147156,0.03040933609008789
