method,n_cells,embedding_dim,technology_ASW,technology_iLISI,biological_ASW,biological_ARI,biological_NMI,knn_biological_purity,knn_opposite_technology_fraction,cross_technology_neighbor_coverage,cross_technology_label_agreement,merfish_section_ASW,merfish_section_iLISI,starmap_plus_section_ASW,starmap_plus_section_iLISI
STEP,56786,30,0.7291868329048157,0.12319421768188477,0.5087270615622401,0.29349029934908016,0.43050324734820833,0.5814748214961988,0.20022283542746927,0.8559504103124009,0.4168792975275391,0.8358829617500305,0.17590209415980748,0.8219193816184998,0.2697866339432566
NicheCompass,56786,182,0.8417832851409912,0.011721372604370117,0.49698303104378283,0.11420883968884188,0.2497632107534024,0.33464550726025605,0.1027844733054555,0.6134258443982672,0.21665172161720098,0.9009253978729248,0.10159355280350665,0.9371106028556824,0.13741046503970497
