method,annotation_ari,annotation_nmi,pas,chaos,batch_asw,batch_ilisi,n_eval_cells
STEP,0.3091490678382279,0.545564237076601,0.7986148510156018,0.00813276772561503,0.8330602645874023,0.03729474544525141,497636.0
BANKSY (Harmony),0.0569513203651207,0.2010647318691635,0.3273383818415904,0.0668479929399622,0.7565705180168152,0.0089638233184814,493215.0
HERGAST (Harmony),0.1203235895220737,0.2584414030506979,0.2895485741512322,0.142552615154087,0.7379520535469055,1.1920928955078125e-07,493215.0
NicheCompass,0.2660676792255396,0.4899946389960672,0.3849108401001591,0.057453428295376,0.8381289839744568,0.1019437313079834,493215.0
