section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151510,graphst,fullneighbors,spatial,spatial,mclust,4595,7,7,0.3905119165880849,0.5596790536461325,0.7417627856365615,0.05761841003514401
151510,graphst,fullneighbors,spatial,spatial,mclust_refined,4595,7,7,0.4350929768742625,0.6353382541004291,0.9142763873775843,0.05513565533847398
