batch,n_periphery_total,n_tumor_total,n_kept,threshold_px,threshold_um,microns_per_pixel,distance_um_min,distance_um_max,distance_shells_um,pdf_path,png_path
cancer_p1,42829,127987,27967,100.0,27.380817798463212,0.27380817798463214,7.999552178906866,25.30395498586507,"[8.0, 11.3, 16.0, 17.9, 22.6, 24.0, 25.3]",workflows/crc_gene_distance_heatmaps/cancer_p1_periphery_vs_tumor_distance_corrected.pdf,workflows/crc_gene_distance_heatmaps/cancer_p1_periphery_vs_tumor_distance_corrected.png
cancer_p2,66096,225998,50521,100.0,27.389195078106876,0.27389195078106876,7.99261700195329,25.31870655191909,"[8.0, 11.3, 16.0, 17.9, 22.6, 24.0, 25.3]",workflows/crc_gene_distance_heatmaps/cancer_p2_periphery_vs_tumor_distance_corrected.pdf,workflows/crc_gene_distance_heatmaps/cancer_p2_periphery_vs_tumor_distance_corrected.png
cancer_p5,26003,111167,17217,100.0,27.369340955762716,0.27369340955762717,7.996663664680646,25.291161858932444,"[8.0, 11.3, 16.0, 17.9, 22.6, 24.0, 25.3]",workflows/crc_gene_distance_heatmaps/cancer_p5_periphery_vs_tumor_distance_corrected.pdf,workflows/crc_gene_distance_heatmaps/cancer_p5_periphery_vs_tumor_distance_corrected.png
