section,method,training_mode,train_graph,infer_graph,variant,n_eval_spots,n_reference_domains,n_predicted_domains,ari,nmi,pas,chaos
151673,graphst,whole,spatial,spatial,mclust,3611,7,7,0.5564644049064684,0.6610918730882456,0.8207144835225699,0.06146767426594366
151673,graphst,whole,spatial,spatial,mclust_refined,3611,7,7,0.5999670161549818,0.7092585143780163,0.9046801440044309,0.06049933680482706
