section,label_key,n_total,n_cells,n_reference_domains,ari,nmi,pas,chaos
C57BL6J-3.011,major_brain_region,105954,101395,14,0.39450211490434195,0.5351758335764281,0.9163735884412446,0.005641067282329316
C57BL6J-3.011,ccf_region_name,105954,104240,168,0.20927209055864715,0.6034588723116863,0.7016730621642364,0.006698049544207293
