section,method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
E16.5_E2S1,STEP sampled,58469,10,0.318913703585756,0.4875100425635286,1,0.8660550458715597,0.418893600236663,0.5646683503921308,0.393406186330802,0.2295616717635066,4905
E16.5_E2S1,NicheCompass,58469,10,0.3695055754530286,0.4931477539571572,3,0.9702768729641694,0.2349866877033823,0.3783440501706755,0.2333072253769336,0.3253257328990228,2456
E16.5_E2S1,BANKSY (Harmony),58469,10,0.2008468309868107,0.3622197915077085,4,0.9458949355143128,0.2965190809584853,0.4515015015015015,0.2915737418791816,0.5863479081472162,3179
E16.5_E2S1,GraphST full graph,58469,10,0.3268613377460764,0.4673663874006986,4,0.9832554517133956,0.2489892515531012,0.3973562042646943,0.2479379418695993,0.471183800623053,2568
E16.5_E2S1,STAGATE full graph,58469,10,0.3422496811075766,0.4689359957988473,8,0.9725848563968668,0.2938566216349472,0.4513441878076486,0.291442542787286,0.5799608355091384,3064
E16.5_E2S1,GraphST sampled,58469,10,0.3467896086434848,0.4787155533030097,2,0.9843912591050988,0.2798540577852282,0.4358108108108108,0.2786177105831533,0.5903572667360388,2883
E16.5_E2S1,STAGATE sampled,58469,10,0.2674248744896378,0.4535388180251888,8,0.9709636247606892,0.3000690267232028,0.4584557438794727,0.2974003127443315,0.4234205488194001,3134
E16.5_E2S4,STEP sampled,98190,16,0.434516886271712,0.5870350004798627,3,0.5002066115702479,0.2749261866908926,0.3548292539938443,0.2156792873051225,0.6070247933884297,4840
E16.5_E2S4,NicheCompass,98190,16,0.4595156424722505,0.586865741696762,14,0.7455443418509771,0.3942766295707472,0.5157840005942212,0.3475127614853368,0.330255529310715,4657
E16.5_E2S4,BANKSY (Harmony),98190,16,0.31454673112229,0.5114852332192734,13,0.7583570679058612,0.5744946627299569,0.6537442656845642,0.4856018429641006,0.285414480587618,6671
E16.5_E2S4,GraphST full graph,98190,16,0.4362377882965632,0.5651098843825627,0,0.9246243952126304,0.4123325005677947,0.5703290662059216,0.3989233135574599,0.2416603004838299,3927
E16.5_E2S4,STAGATE full graph,98190,16,0.3786668682081847,0.5723856222369594,0,0.4613433196424257,0.4336815807404042,0.4470849918051979,0.2879004900113079,0.3243537086252718,8278
E16.5_E2S4,GraphST sampled,98190,16,0.4379092411248169,0.5861090021339007,2,0.6435252272427875,0.5547354076765841,0.5958407025675428,0.4243398193189715,0.2118297984455276,7591
E16.5_E2S4,STAGATE sampled,98190,16,0.4754456637319751,0.5927744037674696,4,0.8796728971962616,0.5130592777651601,0.6481136135418161,0.4794142614601018,0.2233255451713395,5136
E16.5_E2S7,STEP sampled,146507,21,0.3039330353672985,0.5569507707783419,4,0.9471571466175308,0.3348143668000372,0.4947408222191667,0.3286748418624831,0.5220452750723875,15196
E16.5_E2S7,NicheCompass,146507,21,0.2667144054740825,0.5594641282998316,2,0.9903709710115548,0.227295989578487,0.3697354977863548,0.2267947914490634,0.437563348874924,9866
E16.5_E2S7,BANKSY (Harmony),146507,21,0.1925355755450449,0.4780341892100607,1,0.9399976966486238,0.1898669396110542,0.3159218904220936,0.1875933714863591,0.3273062305654727,8683
E16.5_E2S7,GraphST full graph,146507,21,0.3046691678907736,0.5664555824887625,18,0.9595403564301932,0.3243928538196706,0.4848663966203647,0.3200156049201395,0.4002614738870158,14533
E16.5_E2S7,STAGATE full graph,146507,21,0.2870218709664395,0.5675777011413649,20,0.952029826014913,0.2673071554852517,0.4174143630353445,0.2637546767048454,0.7985915492957747,12070
E16.5_E2S7,GraphST sampled,146507,21,0.3279331415391966,0.5657073991898115,2,0.8396131876941577,0.3898064576160789,0.5324246179264767,0.362792006754855,0.3082473193706784,19958
E16.5_E2S7,STAGATE sampled,146507,21,0.2737794370632354,0.5635550087436094,18,0.9647839012119828,0.2944310040011166,0.451173650346659,0.2913003452243958,0.8274258708743044,13119
E16.5_E2S10,STEP sampled,113457,18,0.4004822835892053,0.5922366791512069,8,0.7169698777214435,0.2520708818286672,0.3730023273855702,0.2292580583635323,0.69549657023561,3353
E16.5_E2S10,NicheCompass,113457,18,0.3508696206559512,0.5848371999159565,0,0.5171926519076778,0.3453916325888644,0.4141833270463975,0.2611798287345385,0.6508086041764798,6369
E16.5_E2S10,BANKSY (Harmony),113457,18,0.3221712790721292,0.5282470270920938,0,0.6913084553613604,0.3069099297472999,0.4250962166872413,0.2699188491331612,0.4416627302786963,4234
E16.5_E2S10,GraphST full graph,113457,18,0.3796887291728381,0.5547471497517774,10,0.6588929474571509,0.2458844500366991,0.3581246182040318,0.2181192447214212,0.7046923293059848,3559
E16.5_E2S10,STAGATE full graph,113457,18,0.3741387921320799,0.5540758968913668,0,0.73573264781491,0.3000943692985215,0.4263052059283533,0.2708944628490298,0.5388174807197943,3890
E16.5_E2S10,GraphST sampled,113457,18,0.4333664261654339,0.5849399735730435,8,0.8239786177930508,0.2262766068994442,0.3550510036196117,0.2158431686337267,0.9904543718976708,2619
E16.5_E2S10,STAGATE sampled,113457,18,0.419774069146933,0.5832309664844857,7,0.7121287128712871,0.3016671909405473,0.4238049642778227,0.2688785046728972,0.6113861386138614,4040
E16.5_E2S13,STEP sampled,76187,14,0.2970713316607906,0.5246890731061646,9,0.7531172069825436,0.3045192043267027,0.4336814621409922,0.2768794799133189,0.2645658580820675,4411
E16.5_E2S13,NicheCompass,76187,14,0.3161412583831807,0.5289340312690278,11,0.8521051506732208,0.3654780456503804,0.5115473441108546,0.3436772692009309,0.2596708698439837,4679
E16.5_E2S13,BANKSY (Harmony),76187,14,0.2367185809652682,0.4490879711597661,0,0.9171289875173372,0.2424603538362819,0.3835278764590734,0.2372622891998564,0.2950762829403606,2884
E16.5_E2S13,GraphST full graph,76187,14,0.4052981555480677,0.555613030399769,9,0.8322653599698454,0.4048033733614447,0.5446808510638297,0.3742690058479532,0.2344515642668677,5306
E16.5_E2S13,STAGATE full graph,76187,14,0.389685261609605,0.5378184504549153,13,0.9575825825825826,0.2338436153634613,0.375893317615855,0.2314461985120667,0.2672672672672673,2664
E16.5_E2S13,GraphST sampled,76187,14,0.3989043496885348,0.5515039995829149,0,0.884481701083623,0.3965533046108717,0.5475949367088607,0.3770263203765034,0.2514823144551216,4891
E16.5_E2S13,STAGATE sampled,76187,14,0.2849285477085014,0.5127580915467066,5,0.9124785486638882,0.3411861765514712,0.4966639978649587,0.3303745783774188,0.3510664378524148,4079
