method,n_spots,n_clusters,ARI,NMI,cavity_cluster,cavity_precision,cavity_recall,cavity_f1,cavity_iou,cavity_lcc_fraction,n_predicted_cavity
STEP sampled,146507,21,0.30393303536729854,0.5569507707783419,4,0.9471571466175309,0.33481436680003723,0.49474082221916676,0.32867484186248314,0.5220452750723875,15196
NicheCompass,146507,21,0.2667144054740825,0.5594641282998316,2,0.9903709710115548,0.227295989578487,0.36973549778635484,0.22679479144906345,0.437563348874924,9866
BANKSY (Harmony),146507,21,0.19253557554504497,0.4780341892100607,1,0.9399976966486238,0.18986693961105425,0.3159218904220936,0.18759337148635916,0.32730623056547276,8683
GraphST full graph,146507,21,0.30466916789077364,0.5664555824887625,18,0.9595403564301933,0.3243928538196706,0.48486639662036474,0.32001560492013953,0.4002614738870158,14533
STAGATE full graph,146507,21,0.2870218709664395,0.5675777011413649,20,0.952029826014913,0.2673071554852517,0.4174143630353445,0.2637546767048454,0.7985915492957747,12070
GraphST sampled,146507,21,0.32793314153919667,0.5657073991898115,2,0.8396131876941577,0.3898064576160789,0.5324246179264767,0.36279200675485507,0.30824731937067845,19958
STAGATE sampled,146507,21,0.2737794370632354,0.5635550087436094,18,0.9647839012119827,0.2944310040011166,0.45117365034665907,0.29130034522439585,0.8274258708743044,13119
