method,cluster,n_cluster,n_cavity,cavity_fraction,cavity_recall,cavity_f1,cavity_iou
STEP sampled,0,21981,2193,0.09976798143851508,0.05101423653112497,0.06750911973402701,0.034933732636676436
STEP sampled,1,7793,447,0.057359168484537405,0.010398250674606866,0.017605009747740298,0.008880677077124807
STEP sampled,10,2780,506,0.18201438848920864,0.011770726714431934,0.02211151896521587,0.011179355750961071
STEP sampled,11,5599,2292,0.40935881407394176,0.05331720480133991,0.09434622429868073,0.04950858624041473
STEP sampled,12,5141,49,0.009531219607080334,0.0011398529822275983,0.0020361943942321676,0.0010191347753743761
STEP sampled,13,6900,1760,0.25507246376811593,0.04094165813715456,0.07055805003207184,0.036569148936170214
STEP sampled,14,3467,1277,0.36832996827228154,0.0297059644551968,0.0549779356366376,0.028265970162468457
STEP sampled,15,4180,882,0.21100478468899522,0.020517353680096773,0.03739823609226594,0.019055437929395496
STEP sampled,16,4631,208,0.04491470524724681,0.004838559598027357,0.008736008736008737,0.004387167534960241
STEP sampled,17,7480,133,0.017780748663101604,0.0030938866660463384,0.005270666560989142,0.002642296612694944
STEP sampled,18,7225,50,0.006920415224913495,0.0011631152879873453,0.001991516141238325,0.0009967505930666028
STEP sampled,19,8593,4003,0.4658442918654719,0.09311900995626686,0.15521219053527463,0.0841355248223969
STEP sampled,2,3117,2611,0.8376644209175489,0.060737880338699174,0.11326320355709793,0.060031268680737576
STEP sampled,20,4893,434,0.08869814020028613,0.010095840699730158,0.018128276351788812,0.00914704828545535
STEP sampled,3,3711,1543,0.41579089194287255,0.03589373778728948,0.06608278549861882,0.0341704313933918
STEP sampled,4,15196,14393,0.9471571466175309,0.33481436680003723,0.49474082221916676,0.32867484186248314
STEP sampled,5,2657,60,0.02258185923974407,0.0013957383455848143,0.0026289845547157412,0.0013162224415926291
STEP sampled,6,6385,206,0.03226311667971809,0.004792034986507863,0.008344641808275778,0.00418980210303659
STEP sampled,7,11941,78,0.006532116238171007,0.0018144598492602587,0.0028400298567241343,0.0014220342382089662
